"","genero","raca_cor","idade","tipo_viol","n"
"1","Fem","Parda",0,"Física",15
"2","Fem","Parda",0,"Intervenção legal",0
"3","Fem","Parda",0,"Negligência",45
"4","Fem","Parda",0,"Outras",1
"5","Fem","Parda",0,"Psicológica",3
"6","Fem","Parda",0,"Sexual",5
"7","Fem","Parda",0,"Tortura",0
"8","Fem","Parda",0,"Trabalho infantil",0
"9","Fem","Parda",0,"Tráfico",0
"10","Fem","Parda",1,"Física",2152
"11","Fem","Parda",1,"Intervenção legal",12
"12","Fem","Parda",1,"Negligência",10666
"13","Fem","Parda",1,"Outras",534
"14","Fem","Parda",1,"Psicológica",720
"15","Fem","Parda",1,"Sexual",2533
"16","Fem","Parda",1,"Tortura",106
"17","Fem","Parda",1,"Trabalho infantil",48
"18","Fem","Parda",1,"Tráfico",4
"19","Fem","Parda",2,"Física",2246
"20","Fem","Parda",2,"Intervenção legal",16
"21","Fem","Parda",2,"Negligência",7705
"22","Fem","Parda",2,"Outras",436
"23","Fem","Parda",2,"Psicológica",1223
"24","Fem","Parda",2,"Sexual",4740
"25","Fem","Parda",2,"Tortura",138
"26","Fem","Parda",2,"Trabalho infantil",55
"27","Fem","Parda",2,"Tráfico",10
"28","Fem","Parda",3,"Física",2343
"29","Fem","Parda",3,"Intervenção legal",16
"30","Fem","Parda",3,"Negligência",5943
"31","Fem","Parda",3,"Outras",396
"32","Fem","Parda",3,"Psicológica",1637
"33","Fem","Parda",3,"Sexual",6300
"34","Fem","Parda",3,"Tortura",128
"35","Fem","Parda",3,"Trabalho infantil",60
"36","Fem","Parda",3,"Tráfico",4
"37","Fem","Parda",4,"Física",2419
"38","Fem","Parda",4,"Intervenção legal",19
"39","Fem","Parda",4,"Negligência",4550
"40","Fem","Parda",4,"Outras",367
"41","Fem","Parda",4,"Psicológica",1824
"42","Fem","Parda",4,"Sexual",6006
"43","Fem","Parda",4,"Tortura",157
"44","Fem","Parda",4,"Trabalho infantil",58
"45","Fem","Parda",4,"Tráfico",10
"46","Fem","Parda",5,"Física",2276
"47","Fem","Parda",5,"Intervenção legal",22
"48","Fem","Parda",5,"Negligência",3788
"49","Fem","Parda",5,"Outras",351
"50","Fem","Parda",5,"Psicológica",1795
"51","Fem","Parda",5,"Sexual",5143
"52","Fem","Parda",5,"Tortura",162
"53","Fem","Parda",5,"Trabalho infantil",57
"54","Fem","Parda",5,"Tráfico",3
"55","Fem","Parda",6,"Física",2328
"56","Fem","Parda",6,"Intervenção legal",16
"57","Fem","Parda",6,"Negligência",3181
"58","Fem","Parda",6,"Outras",357
"59","Fem","Parda",6,"Psicológica",2022
"60","Fem","Parda",6,"Sexual",4894
"61","Fem","Parda",6,"Tortura",164
"62","Fem","Parda",6,"Trabalho infantil",62
"63","Fem","Parda",6,"Tráfico",4
