"id","data","Física","Negligência","Outras","Psicológica","Sexual","Tortura"
"1",2015-01-01,12756,2316,1675,5308,2846,472
"2",2015-02-01,11760,2191,1515,4737,2261,425
"3",2015-03-01,12647,2477,1789,5722,2758,549
"4",2015-04-01,11539,2204,1724,5324,2381,464
"5",2015-05-01,11187,2357,1650,5099,2436,485
"6",2015-06-01,11213,2505,1656,5244,2707,464
"7",2015-07-01,11461,2517,1755,5157,2557,485
"8",2015-08-01,13809,2767,2083,6154,2583,608
"9",2015-09-01,13788,2759,2147,5630,2681,623
"10",2015-10-01,14621,2654,2196,6088,2911,691
"11",2015-11-01,14986,2625,2324,6191,3062,585
"12",2015-12-01,15570,2604,2300,6699,3221,671
"13",2016-01-01,13235,2207,1986,5780,3395,535
"14",2016-02-01,13000,2291,1784,5522,2420,559
"15",2016-03-01,13498,2526,1997,6000,2687,553
"16",2016-04-01,12495,2500,1780,5031,2328,514
"17",2016-05-01,11827,2608,1807,5086,2656,494
"18",2016-06-01,11506,2933,1797,4903,2847,521
"19",2016-07-01,12485,2869,2019,5172,2732,562
"20",2016-08-01,13721,3013,2364,5441,2804,554
"21",2016-09-01,13775,2987,2534,5564,2827,519
"22",2016-10-01,14631,2899,2742,5515,2745,591
"23",2016-11-01,13281,2719,2552,5121,2529,532
"24",2016-12-01,13590,2608,2467,5052,2681,589
"25",2017-01-01,15173,3045,2861,6126,3601,689
"26",2017-02-01,14871,2737,2697,5608,2795,687
"27",2017-03-01,15593,3296,2950,6373,3136,743
"28",2017-04-01,15556,3042,3030,6223,2970,720
"29",2017-05-01,15288,3616,3079,6416,3299,744
"30",2017-06-01,14177,3419,2994,5834,3153,631
"31",2017-07-01,14884,3373,2980,6173,3269,663
"32",2017-08-01,16575,3843,3700,6615,3349,733
"33",2017-09-01,17599,3786,4125,6742,3394,831
"34",2017-10-01,18796,3722,4787,7144,3476,839
"35",2017-11-01,16953,3489,4259,6183,3109,715
"36",2017-12-01,16914,3535,3902,6294,3234,699
"37",2018-01-01,17046,3642,4609,6193,4084,645
"38",2018-02-01,15800,2890,4161,5475,3183,587
"39",2018-03-01,17599,3580,5057,6427,3459,654
"40",2018-04-01,16324,3594,4835,5872,3289,613
"41",2018-05-01,15843,3717,4791,6108,3442,626
"42",2018-06-01,15595,3516,4701,5634,3497,529
"43",2018-07-01,15597,3518,4774,5915,3560,621
"44",2018-08-01,16569,3954,5345,6726,3700,704
"45",2018-09-01,18096,3833,6178,6759,3684,663
"46",2018-10-01,18835,3938,6915,6985,3847,633
"47",2018-11-01,17496,3431,6253,5911,3321,561
"48",2018-12-01,18831,3542,6188,6445,3632,589
"49",2019-01-01,20442,3589,6105,7258,4305,681
"50",2019-02-01,18261,3385,5476,6675,3376,666
"51",2019-03-01,20747,3508,6354,7235,3668,753
"52",2019-04-01,18660,3566,6632,6777,3571,656
"53",2019-05-01,17988,3924,7122,6431,3706,629
"54",2019-06-01,17194,3863,6502,6186,3800,595
"55",2019-07-01,16692,3614,6354,6203,3664,585
"56",2019-08-01,18721,3975,7670,6766,3994,688
"57",2019-09-01,20820,3983,9032,7379,4075,807
"58",2019-10-01,21048,4164,9181,7457,4306,723
"59",2019-11-01,17835,3525,7332,6478,3701,610
"60",2019-12-01,18427,3508,6940,6295,3661,644
"61",2020-01-01,20063,4022,8399,7475,4805,753
"62",2020-02-01,19777,3443,7826,6905,3881,690
"63",2020-03-01,16802,3126,6890,5859,3264,625
"64",2020-04-01,13160,2122,4752,4233,2329,521
"65",2020-05-01,12480,2351,4620,4410,2572,501
"66",2020-06-01,12837,2745,4669,5036,3076,477
"67",2020-07-01,13795,3023,4656,5617,3345,526
"68",2020-08-01,14828,3128,5059,5761,3450,550
"69",2020-09-01,15461,3252,6046,6139,3498,614
"70",2020-10-01,14188,3185,5465,5810,3401,491
"71",2020-11-01,13197,3031,5158,5514,3403,548
"72",2020-12-01,13695,2984,4954,5212,3391,533
"73",2021-01-01,16534,3276,6046,6529,4533,584
"74",2021-02-01,14232,3191,5804,5327,3460,573
"75",2021-03-01,13388,3154,5335,5372,3325,510
"76",2021-04-01,13405,3234,5264,5350,3447,545
"77",2021-05-01,13570,3472,5600,5393,3669,522
"78",2021-06-01,12804,3388,5252,5224,3622,493
"79",2021-07-01,14452,3834,5766,6028,3829,564
"80",2021-08-01,16398,4144,7243,6766,4117,610
"81",2021-09-01,17935,3930,8144,7057,3936,691
"82",2021-10-01,18480,3803,8120,7115,4065,682
"83",2021-11-01,17916,4264,7925,7035,4091,685
"84",2021-12-01,16171,4071,6826,6413,3892,614
"85",2022-01-01,14775,3559,6309,6328,4229,589
"86",2022-02-01,16954,3783,7265,6937,3989,652
"87",2022-03-01,20114,4455,9104,8240,4802,788
"88",2022-04-01,18752,3988,8352,7297,4389,705
"89",2022-05-01,17598,4449,7875,7662,4765,744
"90",2022-06-01,15926,4262,7239,6728,4622,632
"91",2022-07-01,18614,4593,8219,7414,5144,650
"92",2022-08-01,19905,4928,9336,8035,5123,758
"93",2022-09-01,15484,3602,8043,6493,4349,640
"94",2022-10-01,23165,4562,10979,8457,5276,856
"95",2022-11-01,15253,3557,7408,5917,4081,529
"96",2022-12-01,21187,4740,9285,7607,5374,738
"97",2023-01-01,23339,5324,11224,9033,6258,855
"98",2023-02-01,22094,5115,10423,8313,5460,762
"99",2023-03-01,23534,6087,11703,9446,6374,852
"100",2023-04-01,21179,4909,10075,8649,5466,732
"101",2023-05-01,21058,5942,10421,8998,6453,841
"102",2023-06-01,20648,5539,9895,8771,6039,800
"103",2023-07-01,22010,5721,10427,8942,5970,752
"104",2023-08-01,24156,6218,12070,9782,6529,887
"105",2023-09-01,25189,6396,12296,9589,6316,984
"106",2023-10-01,25421,6687,12829,9545,6191,885
"107",2023-11-01,25605,5947,12680,9651,6137,858
"108",2023-12-01,26033,5728,11473,8977,6029,826
"109",2024-01-01,26750,5807,12593,10415,6022,898
"110",2024-02-01,24785,5701,11350,9291,5515,849
"111",2024-03-01,25557,6461,11518,9856,5959,774
"112",2024-04-01,23153,6530,10996,9609,5894,824
"113",2024-05-01,23457,5916,10490,9593,6381,746
"114",2024-06-01,24642,6682,11066,9760,6398,797
"115",2024-07-01,23079,6340,10826,8719,5729,737
"116",2024-08-01,26791,6188,12387,10023,6339,946
"117",2024-09-01,29302,5639,13714,10501,6133,956
"118",2024-10-01,27536,5417,12967,9651,5691,893
"119",2024-11-01,22494,3982,10112,6937,3898,723
"120",2024-12-01,9267,1553,4061,2429,1518,289
