"","idade","Física","Negligência","Outras","Psicológica","Sexual","Tortura"
"1",0,41,133,6,14,12,2
"2",1,9824,51534,1875,3025,7094,424
"3",2,9943,35176,1487,4560,14035,506
"4",3,10581,26569,1341,6237,19730,538
"5",4,11165,21046,1209,7251,18602,602
"6",5,10668,17265,1100,7490,16279,624
"7",6,11082,14757,1081,8124,15264,670
"8",7,11155,13206,1056,8515,14842,717
"9",8,11424,12022,1167,8876,15071,709
"10",9,12096,11156,1437,9444,15475,757
"11",10,13376,10158,2229,10106,16639,851
"12",11,17257,9612,5067,11897,21408,958
"13",12,24331,10025,11375,14859,32303,1267
"14",13,33882,10634,19791,17303,43962,1573
"15",14,42836,11647,26224,17074,30688,1691
"16",15,51783,11446,29831,17382,19499,1861
"17",16,60418,11040,31497,17678,15404,1958
"18",17,66485,10015,30907,17411,11890,1997
"19",18,58686,1386,28025,15929,8607,1864
"20",19,61101,1127,28250,16750,8130,1871
"21",20,54945,784,26974,17101,7284,1843
"22",21,55447,786,25733,17741,7029,1895
"23",22,56745,773,24783,18251,6648,1920
"24",23,56648,769,23479,18830,6307,1997
"25",24,56242,682,22361,19042,5977,1937
"26",25,54256,730,20534,18600,5531,1893
"27",26,53419,654,19806,18945,5228,1983
"28",27,52186,662,18636,18772,4958,1900
"29",28,51131,592,17471,18354,4573,1885
"30",29,49808,560,16700,18098,4327,1830
"31",30,49411,532,15867,18037,4075,1784
"32",31,48137,521,14880,17924,3853,1823
"33",32,47135,512,14685,17783,3596,1808
"34",33,46496,513,14444,17860,3579,1841
"35",34,45922,460,14117,17812,3608,1833
"36",35,45049,498,13985,17589,3462,1768
"37",36,43593,425,13617,17267,3286,1684
"38",37,42104,441,13217,16636,3152,1631
"39",38,40738,448,12742,16255,2886,1569
"40",39,39124,427,12608,15637,2792,1497
"41",40,37821,413,12281,15154,2670,1364
"42",41,35665,352,11585,14248,2492,1358
"43",42,33667,335,10963,13471,2242,1285
"44",43,31105,356,10316,12345,1995,1153
"45",44,29125,342,9822,11648,1887,1132
"46",45,27101,341,9172,10871,1745,1008
"47",46,24811,343,8332,9890,1558,918
"48",47,23248,356,7895,9356,1449,854
"49",48,21767,337,7194,8775,1358,750
"50",49,19777,345,6771,8022,1148,705
"51",50,18683,388,6361,7472,1155,664
"52",51,16945,392,5783,6954,984,589
"53",52,15798,437,5404,6483,888,527
"54",53,14672,427,4928,6020,840,528
"55",54,13102,423,4553,5357,729,479
"56",55,12395,460,3979,5176,685,472
"57",56,11339,489,3712,4790,644,392
"58",57,10464,508,3430,4361,634,343
"59",58,9412,521,2948,4090,541,358
"60",59,8852,658,2730,3864,459,336
"61",60,11286,1712,2575,4194,471,310
"62",61,10406,1807,2236,3896,401,304
"63",62,9424,1828,1999,3500,358,272
"64",63,8739,1897,1790,3351,357,275
"65",64,8187,2025,1792,3201,274,279
"66",65,7551,2144,1492,2999,307,233
"67",66,6887,2179,1425,2838,263,228
"68",67,6293,2319,1288,2530,216,207
"69",68,5790,2249,1182,2371,210,173
"70",69,5409,2358,1118,2273,184,195
"71",70,5153,2647,1017,2296,180,177
"72",71,4538,2679,846,2042,164,184
"73",72,4107,2673,815,1927,130,155
"74",73,3937,2663,754,1767,156,174
"75",74,3529,2633,663,1676,131,135
"76",75,3234,2780,628,1553,122,152
"77",76,3086,2802,594,1572,115,148
"78",77,2826,2641,509,1402,96,136
"79",78,2497,2642,459,1275,84,120
"80",79,2289,2582,435,1192,84,117
"81",80,2151,2664,399,1104,65,108
"82",81,1920,2476,361,989,73,105
"83",82,1691,2331,308,922,68,115
"84",83,1506,2391,259,825,58,90
"85",84,1347,2190,262,758,51,75
"86",85,1176,2033,224,633,32,69
"87",86,994,1845,193,571,39,56
"88",87,854,1719,159,496,32,57
"89",88,687,1513,154,405,30,46
"90",89,643,1270,131,388,24,29
"91",90,500,1160,92,260,23,36
"92",91,424,975,87,222,14,27
"93",92,345,853,58,180,17,20
"94",93,279,670,58,133,12,23
"95",94,181,548,34,104,6,14
"96",95,191,408,24,80,3,13
"97",96,140,323,25,75,4,5
"98",97,97,232,20,45,1,8
"99",98,74,178,13,40,7,6
"100",99,64,143,14,31,8,5
"101",100,45,66,8,19,2,2
