"","genero","idade","raca_cor","n"
"1","Fem",0,"Parda",1
"2","Fem",1,"Parda",2272
"3","Fem",1,"Branca",1861
"4","Fem",1,"Ignorado",195
"5","Fem",1,"Preta",210
"6","Fem",1,"Indígena",42
"7","Fem",1,"Amarela",23
"8","Fem",2,"Parda",2293
"9","Fem",2,"Branca",1822
"10","Fem",2,"Ignorado",222
"11","Fem",2,"Preta",253
"12","Fem",2,"Indígena",31
"13","Fem",2,"Amarela",16
"14","Fem",3,"Parda",2224
"15","Fem",3,"Branca",1928
"16","Fem",3,"Ignorado",231
"17","Fem",3,"Preta",244
"18","Fem",3,"Indígena",35
"19","Fem",3,"Amarela",24
"20","Fem",4,"Parda",2093
"21","Fem",4,"Branca",1791
"22","Fem",4,"Ignorado",225
"23","Fem",4,"Preta",284
"24","Fem",4,"Indígena",41
"25","Fem",4,"Amarela",17
"26","Fem",5,"Parda",1687
"27","Fem",5,"Branca",1408
"28","Fem",5,"Ignorado",186
"29","Fem",5,"Preta",240
"30","Fem",5,"Indígena",41
"31","Fem",5,"Amarela",22
"32","Fem",6,"Parda",1554
"33","Fem",6,"Branca",1259
"34","Fem",6,"Ignorado",169
"35","Fem",6,"Preta",197
"36","Fem",6,"Indígena",36
"37","Fem",6,"Amarela",19
"38","Fem",7,"Parda",1347
"39","Fem",7,"Branca",1156
"40","Fem",7,"Ignorado",135
"41","Fem",7,"Preta",183
"42","Fem",7,"Indígena",24
"43","Fem",7,"Amarela",9
"44","Fem",8,"Parda",1472
"45","Fem",8,"Branca",1149
"46","Fem",8,"Ignorado",173
"47","Fem",8,"Preta",263
"48","Fem",8,"Indígena",48
"49","Fem",8,"Amarela",7
"50","Fem",9,"Parda",1580
"51","Fem",9,"Branca",1210
"52","Fem",9,"Ignorado",138
"53","Fem",9,"Preta",208
"54","Fem",9,"Indígena",43
"55","Fem",9,"Amarela",24
"56","Fem",10,"Parda",1618
"57","Fem",10,"Branca",1334
"58","Fem",10,"Ignorado",161
"59","Fem",10,"Preta",259
"60","Fem",10,"Indígena",68
"61","Fem",10,"Amarela",17
"62","Fem",11,"Parda",2235
